name,name2,streetNumber,street,zip,city,region,country,lat,lng
Dr Bernez Aude,Cmct - Livraison Secretariat,6,Rue Therese et Rene Planiol,37540,St Cyr sur Loire,Indre-et-Loire,France,47.432528,0.669788
Dr Ricci Karine,Cmct- 1ere Etage,6,Rue Therese et Rene Planiol,37540,St Cyr sur Loire,Indre-et-Loire,France,47.432528,0.669788
Dr Safar Roba,Cabinet Medical,19 BIS,Rue de la Ligniere,37540,St Cyr sur Loire,Indre-et-Loire,France,47.431310,0.643834
Cedel,,26,Rue du Colonel Dumont,38000,Grenoble,Isere,France,45.181471,5.719419
Dr Evrard Maria,Cabinet Medical,20,Boulevard Jean Pain,38000,Grenoble,Isere,France,45.185604,5.732312
Dr Martinet Xavier,,3,Rue Felix Poulat,38000,Grenoble,Isere,France,45.190243,5.726732
Dr Ratel Elisabeth,Cabinet Medical Code 2210b,1,Rue Président Carnot,38000,Grenoble,Isere,France,45.192004,5.731182
Selarl Dr Cantin Stephanie,,60,Rue du Midi,38090,Villefontaine,Isere,France,45.617721,5.151895
Dr Makhlouf Foued,Clinique Visage et Silhouette,19,Rue Lamartine,38170,Seyssinet-Pariset,Isere,France,45.179537,5.694862
Dr Beille Laurence,Cabinet Medical,3,Allee des Centaurees,38240,Meylan,Isere,France,45.203181,5.765289
Dr Haguenauer Benedicte,,7,Chemin de la Dhuy,38240,Meylan,Isere,France,45.213324,5.796880
Dr Demengeon Fabrice 0644283221,Livraison Main Propres,1,Rue Georges Frier,38500,Voiron,Isere,France,45.365318,5.592306
Dr Souillet Anne Laure,,280,Rue du Bourg,38620,Montferrat,Isere,France,45.488847,5.592461
Dr Atallah Louis,Polyclinique du Parc,27,Rue Jean Heberling,39100,Dole,Jura,France,47.097203,5.507538
Selarl Dr Thibouw Francois,,27,Rue Jean Heberling,39100,Dole,Jura,France,47.097203,5.507538
Centre Origine Studio,Dr Peyre Eric,1234,Avenue du Vigneau,40000,Mont de Marsan,Landes,France,43.877622,-0.461477
Dr Peyre Eric,Cabinet Medical,4,Avenue de la Ferme du Pasques,40000,Mont-de-Marsan,Landes,France,43.909501,-0.468525
Dr Ameline Eric,Cabinet Medical,1,Rue des Iris,41260,La-Chaussee-Saint-Victor,Loir-et-Cher,France,47.601668,1.346237
Dr Guyomarc'H Pantea,,168,Cours Fauriel,42100,Saint Etienne,Loire,France,45.421337,4.410364
St Etienne Laser Médical,,14,Avenue Pierre Mendes France,42270,Saint Priest en Jarey,Loire,France,45.471044,4.373913
Dr Chevallier Julie,Cabinet Medical,4,Rue Francois Bruneau,44000,Nantes,Loire-Atlantique,France,47.230687,-1.557415
Dr Coutant Foulc Phryne,Centre de la Femme,5,Place Aristide Briand,44000,Nantes,Loire-Atlantique,France,47.217029,-1.563169
Dr Lejeune Florence,,3,Rue de la Beraudiere,44000,Nantes,Loire-Atlantique,France,47.226446,-1.546455
Dr Quentin Leurs,,20,Rue Crebillon,44000,Nantes,Loire-Atlantique,France,47.213576,-1.561166
Dr Riaux Anne,Tour Socrate,,32-42 Rue Amiral Ronarc'H,44000,Nantes,Loire-Atlantique,France,47.225204,-1.546406
Dr Chavigny Jean Marc,,6 BIS,Boulevard Pasteur,44100,Nantes,Loire-Atlantique,France,47.212471,-1.579909
Selarl Jm Chavigny,,6 BIS,Boulevard Pasteur,44100,Nantes,Loire-Atlantique,France,47.212471,-1.579909
Dr Charlotte Georges,,22,Rue des Pavillons,44220,Coueron,Loire-Atlantique,France,47.214679,-1.686847
Clinique des Champs Elysées,La Baule -Dr Korb,,Galerie Passage Royal,44500,La Baule,Loire-Atlantique,France,47.288754,-2.363461
Dr Korb Gilles,Pole Sante Entree d Niv 1,,Avenue Claude Bernard,44819,Saint-Herblain Cedex,Loire-Atlantique,France,47.226503,-1.612821
Dr Darchy Gilliard Martine,Tel 02 38 54 27 08,29,Rue de la Republique,45000,Orleans,Loiret,France,47.905560,1.904658
Dr Georgescu Voichita,,1,Rue des Charretiers,45000,Orleans,Loiret,France,47.898953,1.899280
Dr Grandin Nathalie,Selarl Clema,16,Rue Francois Cevert,49000,Angers,Maine-et-Loire,France,47.444203,-0.543031
Dr Lemerle Emmanuelle,,3,Rue de Pruniers,49000,Angers,Maine-et-Loire,France,47.471818,-0.586015
Dr Fernandez Luc,,142,Avenue Mal de Lattre de Tassign,49044,Angers Cedex,Maine-et-Loire,France,47.446503,-0.537676
Dr Delorme Nadia,,9,Rue Vaucanson,49100,Angers,Maine-et-Loire,France,47.484505,-0.546042
Dr Maurice William,Cabinet Medical,13,Bd du Marechal Joffre,49100,Angers,Maine-et-Loire,France,47.471722,-0.544116
Dr Rousseau Pascal,Chu Angers- Secr. Chirur Plast,4,Rue Larrey,49100,Angers,Maine-et-Loire,France,47.480948,-0.554426
Dr Danin Aurelie,,36,Rue du Palais de Justice,50200,Coutances,Manche,France,49.051507,-1.442467
Dr Alessandro Di Cesare,,30,Boulevard de la Paix,51100,Reims,Marne,France,49.253333,4.040814
Dr Lavaquerie Sebastien,Cabinet Orl Cmf,2B,Rue Passe Demoiselles,51100,Reims,Marne,France,49.248778,4.016647
Dr Perceau Geraldine,Scm  Remiderm,22,Rue Simon,51100,Reims,Marne,France,49.243242,4.039921
Dr Plee Julie,Scm  Remiderm,22,Rue Simon,51100,Reims,Marne,France,49.243242,4.039921
Dr Tiguemounine Jean,Bat 2 - 1er Etage,38 BIS,Rue de Courlancy,51100,Reims,Marne,France,49.245007,4.018590
Dr Roulle Philippe,Cabinet Medical 2ème Étage,1,Rue Jules Meline,51430,Bezannes,Marne,France,49.215934,4.001953
Scm Dr Martin Samuel,,24,Rue de l'Arquebuse,52100,St Dizier,Marne (Haute),France,48.636079,4.943634
Dr Paty Jean Luc,1ère Etage,54,Rue Mazagran,53000,Laval,Mayenne,France,48.069681,-0.765714
Dr Allamagny Eric,,28,Place de la Carriere,54000,Nancy,Meurthe-et-Moselle,France,48.696294,6.181836
Dr Ferry Marie-Madeleine,,7,Rue Lyautey,54000,Nancy,Meurthe-et-Moselle,France,48.694091,6.186012
Dr Redon Estelle,Cabinet Medical,6,Rue Vauban,54000,Nancy,Meurthe-et-Moselle,France,48.674197,6.167549
Dr Simon Etienne,Hopital Central,29,Avenue Mal de Lattre de Tassigny,54000,Nancy,Meurthe-et-Moselle,France,48.683962,6.189472
Dr Granddidier Julie,Chemin des Lias,8 BIS,Rue de la Poudrières,54130,Saint Max,Meurthe-et-Moselle,France,48.701149,6.203396
Dr Muel Mégane,,13,Rue Blaise Pascal,54320,Maxeville,Meurthe-et-Moselle,France,48.703425,6.138723
Dr Anais Gaufer Didelon,Cabinet Medical Capart,2,Rue Xavier Roge,54700,Pont A Mousson,Meurthe-et-Moselle,France,48.900890,6.049339
Dr Dumont Marion,,27,Rue de Verdun,54800,Conflans en Jarnisy,Meurthe-et-Moselle,France,49.167226,5.854652
Dr Guillou Pierre,,51,Boulevard du General Monsabert,56000,Vannes,Morbihan,France,47.663623,-2.781927
Dr Maringe Elodie,Cabinet Medical,13,Rue Francois Toullec,56100,Lorient,Morbihan,France,47.732492,-3.379867
Dr Lepelley Charlotte,,7 R,Genevieve de Gaulle Anthonioz,56260,Vannes,Morbihan,France,47.680343,-2.776893
Dr Anne Sophie Thiry,,,Centre Commercial les 3 Soleils,56890,Plescop,Morbihan,France,47.697201,-2.830930
Ac Resources,,26,Rue Haute Seille,57000,Metz,Moselle,France,49.116023,6.181274
Selarl Dr Pauline Dorsemans,,31,Rue Bossuet,57000,Metz,Moselle,France,49.107022,6.163254
Genesthetics,,1,Rue de Sarre,57070,Metz,Moselle,France,49.118453,6.231251
Dr Boulanger Annie,,10,Rue F. Truffaut,57100,Thionville,Moselle,France,49.361311,6.136762
Dr Khairallah Gregoire,,1,Allee du Chateau,57530,Ars Laquenexy,Moselle,France,49.083911,6.243164
Dr Gayibor Leonce,,25,Rue de Nomeny,57950,Montigny les Metz,Moselle,France,49.088029,6.155212
Dr Bouras Fatima,Cabinet Medical,140,Rue du Faubourg d'Arras,59000,Lille,Nord,France,50.610322,3.060483
Dr Rodrigues Isabelle,,38,Rue d'Isly,59000,Lille,Nord,France,50.624826,3.038703
Dr Roumazeille Alice,,23,Place Sebastopol,59000,Lille,Nord,France,50.629025,3.056982
Dr Benjamin Ngo,,,Rue Emile Laine,59037,Lille,Nord,France,50.634163,3.004508
Dr Ségolène Debruyne,,241,Avenue de la République,59110,La Madeleine,Nord,France,50.650380,3.079725
Dr Delaoustre Bertrand,,8BIS,Avenue Henri Delecaux,59130,Lambersart,Nord,France,50.644721,3.033084
Dr Amrani Zouina,,5,Rue du Seigneur Lannoy,59139,Wattignies,Nord,France,50.577212,3.047285
Dr Line Khaddaj,,27,Rue de Gand,59200,Tourcoing,Nord,France,50.726746,3.157623
Dr Lucie Dekerle,,118,Bd Jean Jaurès,59210,Coudekerque Branche,Nord,France,51.019536,2.380261
Dr Alice Roumazeille,,45,Avenue de Flandre,59290,Wasquehal,Nord,France,50.663801,3.127021
Dr Fanny le Goff,,14 BIS,Rue Pierre Cuvelier,59300,Aulnoy Lez Valenciennes,Nord,France,50.333229,3.525838
Dr Guislain Veronique,,69,Avenue Saint Roch,59300,Valenciennes,Nord,France,50.364621,3.535266
Dr Sarah Driouich,,19,Boulevard Froissart,59300,Valenciennes,Nord,France,50.362378,3.519220
Selarl Stephane Rault,,3,Rue Ernest Hiolle,59300,Valenciennes,Nord,France,50.358022,3.534865
Dr Clement Perrault,,120,Rue de l'Avenir,59390,Lys Lez Lannoy,Nord,France,50.667816,3.208600
Dr Nicolas Queval,,120,Rue de l'Avenir,59390,Lys Lez Lannoy,Nord,France,50.667816,3.208600
Dr Sara Allahyari,,75,Rue des Fusilles,59493,Villeneuve D’ascq,Nord,France,50.616910,3.149571
Dr Brygo-Charlet Marie Andree,,3656,Avenue de Petite Synthe,59640,Dunkerque,Nord,France,51.018223,2.322582
Dr Picry Aurore,Cabinet Orl,23,Rue Haddock,59650,Villeneuve d'Ascq,Nord,France,50.649246,3.127734
Dr Fontaine Thierry,Centre de Dermatologie Esthétique,1015,Avenue de la Republique,59700,Marcq-en-Baroeul,Nord,France,50.660053,3.093543
Dr Natalia Branczko,Clinique Confidence,278,Boulevard Clemenceau,59700,Marcq en Baroeul,Nord,France,50.663795,3.087364
Dr Gustin Jean Marcel,,139,Avenue Jean Jaures,59790,Ronchin,Nord,France,50.607288,3.076228
Dr Dascotte Elodie,Cabinet Medical,7,Avenue du President John F.kenned,59800,Lille,Nord,France,50.631862,3.066484
Dr Xenitos Panagiota,Clinique Esthétique Omorfia,129,Rue Royale,59800,Lille,Nord,France,50.645324,3.053917
Selas Dr Cherot Lionel,Clinique Gantois,150,Rue de Pierre Mauroy,59800,Lille,Nord,France,50.633663,3.067815
Dr Morgane Fumery,Selarl Ethetique Beauvais,13,Rue Alcide de Gasperi,60000,Beauvais,Oise,France,49.447654,2.099158
Sel Dr Barry Laurence,,9,Rue Carnot,60200,Compiegne,Oise,France,49.414037,2.824226
Dr Bendennoune Paul,9h-12h et 16h-20h,6,Avenue de la Gare,60330,Le Plessis Belleville,Oise,France,49.094776,2.745232
Dr Attenti Philippe,Cabinet Medical,21,Rue de Saintines,60410,Verberie,Oise,France,49.311029,2.739034
Dr le Carbonnier Eric,Cabinet Medical,8,Rue de Villeneuve,61000,Alecon,Orne,France,48.428049,0.075881
Dr Masson Jean-Francois,,34,Rue Emilie Loubet,62000,Arras,Pas-de-Calais,France,50.285812,2.785101
Scm Dermatologie Saint Jean,"Drs Cartier,maire,gros",8,Square Saint Jean,62000,Arras,Pas-de-Calais,France,50.292035,2.770777
Dr Andrieu Christophe,,6 BIS,Rue Jean de Vienne,62100,Calais,Pas-de-Calais,France,50.956221,1.849416
Dr Eloueslati Aicha,Cabinet Medical,110,Rue Mollien,62100,Calais,Pas-de-Calais,France,50.955990,1.865795
Dr Corinne Remont,,52,Boulevard Louis Brebion,62140,Hesdin la Forêt,Pas-de-Calais,France,50.371703,2.038633
Dr Cagnard Joanna,Espace Santé,7,Route de Verton,62600,Groffliers,Pas-de-Calais,France,50.388164,1.610390
Dr Aurelie Dorlencourt,,7,Rue Anne Franck,62950,Noyelles Godault,Pas-de-Calais,France,50.431901,2.998763
Dr Fanget Emmanuel,,19,Route de Montmorin,63160,Billom,Puy-de-Dome,France,45.717816,3.342833
Dr Sulvac  Abdurahman,,21,Rue de Sarlieve,63800,Cournon d'Auvergne,Puy-de-Dome,France,45.741463,3.159245
Dr Contou-Carrere Stephanie,Clinique Marzet,40,Boulevard d'Alsace Lorraine,64000,Pau,Pyrenees-Atlantiques,France,43.303928,-0.364790
Dr Loubeyres Sophie,Cabinet Sld,37TER,Avenue Alfred Nobel,64000,Pau,Pyrenees-Atlantiques,France,43.313076,-0.319238
Dr Camille Sentucq,,3,Rue du Docteur Andre Vidal,64100,Bayonne,Pyrenees-Atlantiques,France,43.484693,-1.494082
Dr Nadon Florian,,3,Rue du Docteur André Vidal,64100,Bayonne,Pyrenees-Atlantiques,France,43.484693,-1.494082
Clinique des Champs Elysées,Dr Peyre Eric,7,Avenue Edouard Vii,64200,Biarritz.,Pyrenees-Atlantiques,France,43.483690,-1.558613
Dr Eric Morin,,3 TER,Avenue Francois Mauriac,64200,Biaritz,Pyrenees-Atlantiques,France,43.479247,-1.557043
Dr Hecquet Marion,,19,Boulevard du Bab,64200,Biarritz,Pyrenees-Atlantiques,France,43.486559,-1.537347
Dr Peres Pierron Sylvie,Espace Diorama,3,Boulevard de Cascais,64200,Biarritz,Pyrenees-Atlantiques,France,43.476506,-1.547913
Dr Krassoulia Alexandre,Residence la Roseraie,8,Rue du Chateau,64210,Bidart,Pyrenees-Atlantiques,France,43.458331,-1.576113
Selarl Drmn,Dr Norpo Maria,375,Avenue Atherbea,64210,Bidart,Pyrenees-Atlantiques,France,43.436333,-1.592761
Dr Delpech Christine,,109,Chemin de Chibau,64500,Saint Jean de Luz,Pyrenees-Atlantiques,France,43.408359,-1.627986
Dr David Dominique,Les Alizees Entree C,45,Avenue Jean Leon Laporte,64600,Anglet,Pyrenees-Atlantiques,France,43.489705,-1.499408
Dr Pistre Vincent,,95,Av d'Espagne,64600,Anglet,Pyrenees-Atlantiques,France,43.475272,-1.529207
Dr Rigal Resplandy Emilie,Res. Casaou de Quintaou,14,Avenue Eugene Bernain,64600,Anglet,Pyrenees-Atlantiques,France,43.483829,-1.511176
Selarl Dr Barbe Christel,Résidence Lavista,74,Avenue de la Chambre d'Amour,64600,Anglet,Pyrenees-Atlantiques,France,43.496198,-1.537057
Selarl du Docteur Marie Tourrier,,45,Avenue Jean Leon Laporte,64600,Anglet,Pyrenees-Atlantiques,France,43.489705,-1.499408
Dr Chloé Nagouas,,12,Allée de Bordenave,64990,Saint Pierre d'Irube,Pyrenees-Atlantiques,France,43.477023,-1.455678
Dr Mahjoub Hella,Cabinet Medical,3,Rue Georges Ledormeur,65000,Tarbes,Pyrenees (Hautes),France,43.223797,0.076745
Catalane Estetica Sarl,Docteur Arnold Philippe,6,Rue Pierre Curie,66000,Perpignan,,France,42.698745,2.888747
Dr Arnold Philippe,,6,Rue Pierre Curie,66000,Perpignan,Pyrenees-Orientales,France,42.698745,2.888747
Selarlu Muchir-Debecque Gaelle,,9,Boulevard Wilson,66000,Perpignan,Pyrenees-Orientales,France,42.701780,2.896194
Dr Abdo Morales Ivana,,780,Avenue D’argelès sur Mer,66100,Perpignan,Pyrenees-Orientales,France,42.678608,2.911780
Dr Canizares Francois,Cabinet Medical,3,Rue Edmé Mariotte,66100,Perpignan,Pyrenees-Orientales,France,42.690857,2.902425
Dr Saloum Jean-Luc,,48,Avenue Joseph Sauvy,66140,Canet en Roussillon,Pyrenees-Orientales,France,42.704762,3.011193
Dr Lanfrey Etienne,Medicentre Avicenne,20,Rue Avicenne,66330,Cabestany,Pyrenees-Orientales,France,42.691602,2.938220
Dr Perez-Siscar Marie-Rose,Sas Perysis Thalacap Catalogne,1432,Avenue de la Cote Vermeille,66650,Banyuls-sur-Mer,Pyrenees-Orientales,France,42.479749,3.137004
Dr Abensour Marc,,80,Allee de la Robertsau,67000,Strasbourg,Bas-Rhin,France,48.592131,7.770340
Dr Chahrock Elahi Ctre Ophtal Rhin,,30,Rue de l'Ail,67000,Strasbourg,Bas-Rhin,France,48.579956,7.748787
Dr Corinne Mutschler,,14,Quai Kléber,67000,Strasbourg,Bas-Rhin,France,48.586774,7.745690
Dr Eve Lévy,Scp Adelis,,Boulevard Jacques Preiss,67000,Strasbourg,Bas-Rhin,France,48.591545,7.763183
Dr Gigon Isabelle,Cabinet Medical,4,Rue du Marche,67000,Strasbourg,Bas-Rhin,France,48.584683,7.743092
Dr Mary Fleur,,35,Avenue de la Paix,67000,Strasbourg,Bas-Rhin,France,48.591964,7.756822
Dr Springinsfeld Geraldine,Scp Adelis,1,Boulevard Jacques Preiss,67000,Strasbourg,Bas-Rhin,France,48.592376,7.761520
S.c.m. Drs Bollecker & Himy,,6,Avenue de la Liberte,67000,Strasbourg,Bas-Rhin,France,48.585865,7.757992
Dr Matheis Jutta,,5,Rue de la Laine,67160,Wissembourg,Bas-Rhin,France,49.037198,7.946666
Dr Fritsch Christine,,15,Rue Saint-Jacques,67210,Obernai,Bas-Rhin,France,48.455642,7.478338
Dr Schaeffer Jean,,38,Rue du Général Rampont,67240,Bischwiller,Bas-Rhin,France,48.769182,7.856415
Dr Tamarindi Philippe,,11,Rue Francaise,67240,Bischwiller,Bas-Rhin,France,48.767955,7.857579
Dr Olivier Sanglade,,137,Route du Général de Gaulle,67300,Schiltigheim,Bas-Rhin,France,48.610041,7.733914
Dr Cahn Christine,Cabinet Medical,142,Route de Bale,68000,Colmar,Haut-Rhin,France,48.060400,7.362955
Dr Belfkira Fouad,Interphone Clyesth /allée Centrale,9,Quai Jean Moulin,69001,Lyon,Rhone,France,45.766576,4.837887
Selarl Dr Van Der Stegen Damien,,77,Rue de la Republique,69002,Lyon,Rhone,France,45.758809,4.834918
Dr Ronger Savle Sandra,,13,Rue Garibaldi,69006,Lyon,Rhone,France,45.772186,4.850130
Dr Milan Marie,,5,Rue Chalopin,69007,Lyon,Rhone,France,45.752218,4.845276
Dr Petiot Roland Antoinette,,62,Rue Francois Peissel,69300,Caluire-et-Cuire,Rhone,France,45.796875,4.843237
Dr Korting Olivier,Polyclinique du Val de Saone,44,Rue Amboise Pare,71031,Macon,Saone-et-Loire,France,46.316407,4.812117
Dr Chaignaud Lebreton Maryvette,Si Absent Livraison Dr Lebreton,3,Rue Moliere,72000,Le Mans,Sarthe,France,47.993790,0.217441
Selas Dr Lamy Jérémie,Chirurgien Esthetique,26,Rue de l'Étoile,72000,Le Mans Cedex,Sarthe,France,48.005592,0.200998
Centre Laser Medical le Théâtre,Tel 06 99 50 28 38  Mr Mefarey,18,Rue Croix d'Or,73000,Chambery,Savoie,France,45.564832,5.923884
Selarl Persia-Dr Hashemi Anita,,253,Allée Promenade du Bord du Lac,73100,Aix -les-Bains,Savoie,France,45.699352,5.888933
Dr Dellac Claire,,35,Place de l Europe,73200,Albertville,Savoie,France,45.675942,6.392632
Dr Feuillade Marie-Luce,Cabinet Medical,3,Quai des Cordeliers,74000,Annecy,Savoie (Haute),France,45.899022,6.122720
Dr Allard Anne,Cabinet Medical,99,Rue Saint Francois,74120,Megeve,Savoie (Haute),France,45.857920,6.618953
Dr Boustany Raif,Le Panoramic,11,Avenue du Général de Gaulle,74200,Thonon les Bains,Savoie (Haute),France,46.369684,6.476122
Dr Delmont Aurore,,325,Route du Col de Bluffy,74290,Bluffy,Savoie (Haute),France,45.870433,6.211161
Dr Mon Wen Pin Axelle,Code: B1961 et 0405,76,Rue Réaumur,75002,Paris,Paris,France,48.866480,2.351880
Clinique des Champs Sébastopol,,86,Boulevard Sébastopol,75003,Paris,Paris,France,48.865746,2.352491
Dr Amode Reyhan,Centre de Dermatologie Paris Marais,9,Rue du Grand Veneur,75003,Paris,Paris,France,48.858963,2.365975
Dr Farhi David,Cabinet de Dermatologie 12h-18h,8,Rue Saint Gilles,75003,Paris,Paris,France,48.857835,2.366870
Dr Mazaud Canelle,Centre Dermatologie Paris Marais,9,Rue du Grand Veneur,75003,Paris,Paris,France,48.858963,2.365975
Dr Lydia Belatreche,,88,Rue Bonaparte,75006,Paris,Paris,France,48.849384,2.332606
Selarl Dr Thoux Zoe,,20,Rue de Seine,75006,Paris,Paris,France,48.855889,2.336625
Csg Dr Obadia Deborah,Cabinet Medical,63 BIS,Rue de Varenne,75007,Paris,Paris,France,48.855132,2.318990
Dr Aknin-Cahane Marie Claude,,5,Rue Cognacq-Jay,75007,Paris,Paris,France,48.861653,2.304664
Dr Benouaiche Laurence,,8,Rue de Solférino,75007,Paris,Paris,France,48.860249,2.323382
Dr Cahane Jean Pierre,,5,Rue Cognacq-Jay,75007,Paris,Paris,France,48.861653,2.304664
Dr Canesi Michel,Code Porte: 6428,9,Place Vauban,75007,Paris,Paris,France,48.853076,2.310903
Dr Caroline Mouselli,,30,Rue des Saints Pères,75007,Paris,Paris,France,48.855382,2.330825
Dr Degois Gilles,,1,Rue de Villersexel,75007,Paris,Paris,France,48.858672,2.324751
Aesthe Paris 04 Miron,,4,Avenue Matignon,75008,Paris,Paris,France,48.870156,2.312897
Dr Berard Philippe,Cabinet Medical,34,Rue de Penthievre,75008,Paris,Paris,France,48.872403,2.313652
Dr Dallaserra Myriam,,16,Rue Euler,75008,Paris,Paris,France,48.871049,2.298303
Dr Meunier Philippe,Livraison en Mains Propres,7,Rue de Laborde,75008,Paris,Paris,France,48.875715,2.322323
Sdef Lafaye - Fusade,,23,Rue Saint Petersbourg,75008,Paris,Paris,France,48.881658,2.325400
Jectparismed,,45,Avenue Trudaine,75009,Paris,Paris,France,48.880806,2.341485
Dr Midoz Segolene,,16,Rue Lucien Sampaix,75010,Paris,Paris,France,48.871949,2.360738
Dr Vasileios Anyfantakis,Code 3748b et 3487a,129,Boulevard Richard Lenoir,75011,Paris,Paris,France,48.866110,2.368903
Dr Bonte Isabelle,Code 1 5237 / Code 2 6614,7,Rue Edouard Manet,75013,Paris,Paris,France,48.832686,2.358047
Dr Letournel Christine,,67,Rue de Tolbiac,75013,Paris,Paris,France,48.827278,2.369164
Dr Ochonisky Sophie,Code Porte A2680,5,Villa Coeur de Vey,75014,Paris,Paris,France,48.830237,2.327908
Dr Erbault Robert,,5,Rue de la Procession,75015,Paris,Paris,France,48.840295,2.305419
Dr Granier Delphine,,15,Rue Chasseloup Laubat,75015,Paris,Paris,France,48.847502,2.305144
Doctor And Co - Code A5b6,Dr Sebbah Simon et Sebbah Meyer,56,Rue Michel Ange,75016,Paris,Paris,France,48.843771,2.260523
Dr Abitbol Jean,,1,Rue Largilliere,75016,Paris,Paris,France,48.857371,2.272835
Dr Alvo Remi,,17,Avenue du Colonel Bonnet,75016,Paris,Paris,France,48.855785,2.277713
Dr Benoit-Sauvan Marie-Christine,,53,Rue General Delestraint,75016,Paris,Paris,France,48.840200,2.256824
Dr Butnaru Alain,,53,Avenue de Versailles,75016,Paris,Paris,France,48.847894,2.274464
Dr Dalu Alexandra,Cabinet Medical,113,Avenue Victor Hugo,75016,Paris,Paris,France,48.859000,2.347000
Dr Gridina Inna,Cabinet Medical,57,Rue Boissiere,75016,Paris,Paris,France,48.843106,2.263168
Dr Levy Claude,Rdc - Code Porte 3847,130 B,Boulevard Exelmans,75016,Paris,Paris,France,48.843222,2.261624
Dr Meurgey Isabelle,,53,Av. de Versailles,75016,Paris,Paris,France,48.847894,2.274464
Dr Susini Bertrand,Code Porte 1952 - Droite,4,Rue de l'Abbe Gillet,75016,Paris,Paris,France,48.857062,2.280722
Dr Thierry Ktorza,,19,Boulevard Flandrin,75016,Paris,Paris,France,48.845952,2.258102
Dr Zriouel Siham,,11,Chaussée de la Muette,75016,Paris,Paris,France,48.858042,2.273753
Paris Prévention,Dr Bensabat,50,Rue Copernic,75016,Paris,Paris,France,48.857084,2.275172
Selarl du Dr Schartz,,21 BIS,Avenue d'Iena,75016,Paris,Paris,France,48.850000,2.263398
Cabinet Medical et Laser Paris 17,Selarl,7,Place du General Catroux,75017,Paris,Paris,France,48.882461,2.309578
Dr Ferrand Jean Yves,,152,Boulevard Malesherves,75017,Paris,Paris,France,48.886045,2.306490
Dr Thirion Valerie,,1,Rue Chazelles,75017,Paris,Paris,France,48.879512,2.303384
Selarl Dr Azoulay Laura,Centre Cmcc Code Porte 1406,23,Avenue Neil,75017,Paris,Paris,France,48.880778,2.295063
Dr Danan Nelly,,28,Avenue Secretan,75019,Paris,Paris,France,48.881484,2.372401
Dr Amar Nawal,,228,Rue des Pyrenees,75020,Paris,Paris,France,48.866978,2.397023
Dr Arnaud Eric,,34,Avenue d'Eylau,75116,Paris,Paris,France,48.865163,2.283854
Dr Benelli Charles,Scm Marceau,57,Avenue Marceau,75116,Paris,Paris,France,48.869813,2.297867
Dr Chatel Harold,Cabinet Medical,12,Avenue Pierre 1er de Serbie,75116,Paris,Paris,France,48.866159,2.296944
Dr Federico Catta,,5,Sq. Mignot,75116,Paris,Paris,France,48.862354,2.282619
Dr Trevidic Patrick,,7,Rue Sontay,75116,Paris,Paris,France,48.870398,2.284241
Sas Soyl Maison Eiffel,Dr Paze,6,Square Petrarque,75116,Paris,Paris,France,48.861425,2.282200
Selarl Dr Mayeux Pierre-Alain,,123,Rue de Longchamp,75116,Paris,Paris,France,48.867243,2.277950
Selarl du Dr Azoulay Philippe,,133,Rue Michel Ange,75116,Paris,Paris,France,48.859000,2.347000
Dr Berthier Eve,,83,Rue Jeanne d'Arc,76000,Rouen,Seine-Maritime,France,49.445806,1.092681
Dr Bosser Loic,,16,Rue Verte,76000,Rouen,Seine-Maritime,France,49.447872,1.093659
Dr Isabelle Baste,,81,Bd de l'Europe,76000,Rouen,Seine-Maritime,France,49.450937,1.104768
Ny Center,Dr Yadun Nathan,6,Place de la Republique,76000,Rouen,Seine-Maritime,France,49.437544,1.096565
Selarl Valin,,51,Rue Jeanne d'Arc,76000,Rouen,Seine-Maritime,France,49.443735,1.091507
Dr Bechu Sylvie,Clinique Mathilde,19,Rue de Lessard,76100,Rouen,Seine-Maritime,France,49.428010,1.095195
Dr Chartaux Emilie,Clinique Mathilde Ii,19,Rue de Lessard,76100,Rouen,Seine-Maritime,France,49.428010,1.095195
Dr Darbet Andrieu Emilie,Clinique Mathilde Ii,4,Rue d'Emendreville,76100,Rouen,Seine-Maritime,France,49.429200,1.095411
Dr Gardeil Ludivine,,73,Boulevard de l'Europe,76100,Rouen,Seine-Maritime,France,49.425999,1.086440
Dr Kerbrat Catherine,Clinique Mathilde Ii,19,Rue de Lessard,76100,Rouen,Seine-Maritime,France,49.428010,1.095195
Dr Ouvry Muriel,Clinique Mathilde 2,19,Rue de Lessard,76100,Rouen,Seine-Maritime,France,49.428010,1.095195
Dr Vinez Charlotte,,3,Rue Jacques Monod,76130,Saint Aignan,Seine-Maritime,France,49.477182,1.094629
Dr Leconte Sidonie,,14,Rue du Marechal Foch,76190,Yvetot,,France,49.618306,0.746650
Dr Perignon David Selarl,Clinique Saint Antoine,696,Rue Robert Pinchon,76230,Bois-Guillaume,Seine-Maritime,France,49.457699,1.106370
Dr Surlemont Yves Selarl,Clinique St Antoine  Consult 1er,696,Rue Robert Pinchon,76230,Bois-Guillaume,Seine-Maritime,France,49.457699,1.106370
Dr Spader Michel,Maison de Sante Caux Estuaire,,Rd 81 - Ancienne Vielle Route,76430,St Romain de Colbosc,Seine-Maritime,France,49.523385,0.356266
Dr Denis Marie Helene,Selarl Mh Esthetique,272,Avenue Marc Jacquet,77000,Melun,Seine-et-Marne,France,48.556774,2.641812
